result_id,election_id,precinct_id,source_system,registered_voters,ballots_cast,valid_ballots,rejected_ballots,undervotes,overvotes,hash_posted
ER-000001,PH-2025-NLE,CP-PH-R01-P01-C01-B01-001,ACM,25,16,15,1,1,1,sample-hash-0000000000000000000000000000000000000000000000000000000000000001
ER-000002,PH-2025-NLE,CP-PH-R01-P01-C01-B01-002,ACM,25,17,15,2,2,0,sample-hash-0000000000000000000000000000000000000000000000000000000000000002
ER-000003,PH-2025-NLE,CP-PH-R01-P01-C01-B02-001,ACM,25,18,18,0,3,1,sample-hash-0000000000000000000000000000000000000000000000000000000000000003
ER-000004,PH-2025-NLE,CP-PH-R01-P01-C01-B02-002,ACM,25,18,17,1,0,0,sample-hash-0000000000000000000000000000000000000000000000000000000000000004
ER-000005,PH-2025-NLE,CP-PH-R01-P01-M01-B01-001,ACM,25,16,14,2,1,1,sample-hash-0000000000000000000000000000000000000000000000000000000000000005
ER-000006,PH-2025-NLE,CP-PH-R01-P01-M01-B01-002,ACM,25,16,16,0,2,0,sample-hash-0000000000000000000000000000000000000000000000000000000000000006
ER-000007,PH-2025-NLE,CP-PH-R01-P01-M01-B02-001,ACM,25,17,16,1,3,1,sample-hash-0000000000000000000000000000000000000000000000000000000000000007
ER-000008,PH-2025-NLE,CP-PH-R01-P01-M01-B02-002,ACM,25,18,16,2,0,0,sample-hash-0000000000000000000000000000000000000000000000000000000000000008
ER-000009,PH-2025-NLE,CP-PH-R01-P02-C01-B01-001,ACM,25,18,18,0,1,1,sample-hash-0000000000000000000000000000000000000000000000000000000000000009
ER-000010,PH-2025-NLE,CP-PH-R01-P02-C01-B01-002,ACM,25,16,15,1,2,0,sample-hash-0000000000000000000000000000000000000000000000000000000000000010
ER-000011,PH-2025-NLE,CP-PH-R01-P02-C01-B02-001,ACM,25,16,14,2,3,1,sample-hash-0000000000000000000000000000000000000000000000000000000000000011
ER-000012,PH-2025-NLE,CP-PH-R01-P02-C01-B02-002,ACM,25,17,17,0,0,0,sample-hash-0000000000000000000000000000000000000000000000000000000000000012
ER-000013,PH-2025-NLE,CP-PH-R01-P02-M01-B01-001,ACM,25,18,17,1,1,1,sample-hash-0000000000000000000000000000000000000000000000000000000000000013
ER-000014,PH-2025-NLE,CP-PH-R01-P02-M01-B01-002,ACM,25,18,16,2,2,0,sample-hash-0000000000000000000000000000000000000000000000000000000000000014
ER-000015,PH-2025-NLE,CP-PH-R01-P02-M01-B02-001,ACM,25,16,16,0,3,1,sample-hash-0000000000000000000000000000000000000000000000000000000000000015
ER-000016,PH-2025-NLE,CP-PH-R01-P02-M01-B02-002,ACM,25,16,15,1,0,0,sample-hash-0000000000000000000000000000000000000000000000000000000000000016
ER-000017,PH-2025-NLE,CP-PH-R02-P01-C01-B01-001,ACM,25,17,15,2,1,1,sample-hash-0000000000000000000000000000000000000000000000000000000000000017
ER-000018,PH-2025-NLE,CP-PH-R02-P01-C01-B01-002,ACM,25,18,18,0,2,0,sample-hash-0000000000000000000000000000000000000000000000000000000000000018
ER-000019,PH-2025-NLE,CP-PH-R02-P01-C01-B02-001,ACM,25,18,17,1,3,1,sample-hash-0000000000000000000000000000000000000000000000000000000000000019
ER-000020,PH-2025-NLE,CP-PH-R02-P01-C01-B02-002,ACM,25,16,14,2,0,0,sample-hash-0000000000000000000000000000000000000000000000000000000000000020
ER-000021,PH-2025-NLE,CP-PH-R02-P01-M01-B01-001,ACM,25,16,16,0,1,1,sample-hash-0000000000000000000000000000000000000000000000000000000000000021
ER-000022,PH-2025-NLE,CP-PH-R02-P01-M01-B01-002,ACM,25,17,16,1,2,0,sample-hash-0000000000000000000000000000000000000000000000000000000000000022
ER-000023,PH-2025-NLE,CP-PH-R02-P01-M01-B02-001,ACM,25,18,16,2,3,1,sample-hash-0000000000000000000000000000000000000000000000000000000000000023
ER-000024,PH-2025-NLE,CP-PH-R02-P01-M01-B02-002,ACM,25,18,18,0,0,0,sample-hash-0000000000000000000000000000000000000000000000000000000000000024
