transmission_id,election_id,precinct_id,source_system,destination_system,status,attempt,transmitted_at
TX-000001,PH-2025-NLE,CP-PH-R01-P01-C01-B01-001,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T19:07:00+08:00
TX-000002,PH-2025-NLE,CP-PH-R01-P01-C01-B01-002,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T20:14:00+08:00
TX-000003,PH-2025-NLE,CP-PH-R01-P01-C01-B02-001,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T21:21:00+08:00
TX-000004,PH-2025-NLE,CP-PH-R01-P01-C01-B02-002,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T18:28:00+08:00
TX-000005,PH-2025-NLE,CP-PH-R01-P01-M01-B01-001,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T19:35:00+08:00
TX-000006,PH-2025-NLE,CP-PH-R01-P01-M01-B01-002,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T20:42:00+08:00
TX-000007,PH-2025-NLE,CP-PH-R01-P01-M01-B02-001,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T21:49:00+08:00
TX-000008,PH-2025-NLE,CP-PH-R01-P01-M01-B02-002,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T18:56:00+08:00
TX-000009,PH-2025-NLE,CP-PH-R01-P02-C01-B01-001,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T19:03:00+08:00
TX-000010,PH-2025-NLE,CP-PH-R01-P02-C01-B01-002,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T20:10:00+08:00
TX-000011,PH-2025-NLE,CP-PH-R01-P02-C01-B02-001,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T21:17:00+08:00
TX-000012,PH-2025-NLE,CP-PH-R01-P02-C01-B02-002,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T18:24:00+08:00
TX-000013,PH-2025-NLE,CP-PH-R01-P02-M01-B01-001,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T19:31:00+08:00
TX-000014,PH-2025-NLE,CP-PH-R01-P02-M01-B01-002,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T20:38:00+08:00
TX-000015,PH-2025-NLE,CP-PH-R01-P02-M01-B02-001,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T21:45:00+08:00
TX-000016,PH-2025-NLE,CP-PH-R01-P02-M01-B02-002,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T18:52:00+08:00
TX-000017,PH-2025-NLE,CP-PH-R02-P01-C01-B01-001,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T19:59:00+08:00
TX-000018,PH-2025-NLE,CP-PH-R02-P01-C01-B01-002,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T20:06:00+08:00
TX-000019,PH-2025-NLE,CP-PH-R02-P01-C01-B02-001,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T21:13:00+08:00
TX-000020,PH-2025-NLE,CP-PH-R02-P01-C01-B02-002,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T18:20:00+08:00
TX-000021,PH-2025-NLE,CP-PH-R02-P01-M01-B01-001,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T19:27:00+08:00
TX-000022,PH-2025-NLE,CP-PH-R02-P01-M01-B01-002,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T20:34:00+08:00
TX-000023,PH-2025-NLE,CP-PH-R02-P01-M01-B02-001,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T21:41:00+08:00
TX-000024,PH-2025-NLE,CP-PH-R02-P01-M01-B02-002,ACM,CITY_MUNICIPAL_CCS,RECEIVED,1,2025-05-09T18:48:00+08:00
